"","player.name","number","Dribble","Pass","Shot","prop.Shot","prop.Pass","prop.Dribble","team.name","position.name","cluster"
"221","Thomas Delaney",194,5,185,4,0.0206185567010309,0.95360824742268,0.0257731958762887,"Denmark","Left Center Midfield",2
"222","Thomas Lemar",59,4,54,1,0.0169491525423729,0.915254237288136,0.0677966101694915,"France","Left Wing",3
"223","Thomas Müller",120,3,113,4,0.0333333333333333,0.941666666666667,0.025,"Germany","Right Wing",2
"224","Thorgan Hazard",62,2,57,3,0.0483870967741935,0.919354838709677,0.032258064516129,"Belgium","Left Midfield",2
"225","Timo Werner",102,5,90,7,0.0686274509803922,0.882352941176471,0.0490196078431373,"Germany","Center Forward",4
"226","Tom Rogic",78,9,64,5,0.0641025641025641,0.82051282051282,0.115384615384615,"Australia","Center Attacking Midfield",5
"227","Toni Kroos",344,5,323,16,0.0465116279069767,0.938953488372093,0.0145348837209302,"Germany","Left Center Midfield",2
"228","Trent Alexander-Arnold",69,2,66,1,0.0144927536231884,0.956521739130435,0.0289855072463768,"England","Right Midfield",2
"229","Vahid Amiri",79,6,71,2,0.0253164556962025,0.89873417721519,0.0759493670886076,"Iran","Left Center Midfield",3
"230","Valon Behrami",233,1,231,1,0.00429184549356223,0.991416309012876,0.00429184549356223,"Switzerland","Right Center Midfield",1
"231","Victor Moses",133,6,120,7,0.0526315789473684,0.902255639097744,0.0451127819548872,"Nigeria","Right Midfield",4
"232","Víctor Yoshimar Yotún Flores",148,1,144,3,0.0202702702702703,0.972972972972973,0.00675675675675676,"Peru","Left Defensive Midfield",1
"233","Viktor Claesson",163,11,146,6,0.0368098159509202,0.895705521472393,0.0674846625766871,"Sweden","Right Midfield",3
"234","Wahbi Khazri",96,3,81,12,0.125,0.84375,0.03125,"Tunisia","Center Forward",4
"235","William Silva de Carvalho",254,2,251,1,0.00393700787401575,0.988188976377953,0.0078740157480315,"Portugal","Left Center Midfield",1
"236","Willian Borges da Silva",217,15,197,5,0.0230414746543779,0.907834101382488,0.0691244239631336,"Brazil","Right Wing",3
"237","Wílmar Enrique Barrios Terán",129,3,126,0,0,0.976744186046512,0.0232558139534884,"Colombia","Left Defensive Midfield",1
"238","Woo-Young Jung",66,3,60,3,0.0454545454545455,0.909090909090909,0.0454545454545455,"South Korea","Left Center Midfield",2
"239","Xherdan Shaqiri",223,14,197,12,0.0538116591928251,0.883408071748879,0.062780269058296,"Switzerland","Right Wing",4
"240","Yehya Sulaiman Al Shehri",63,3,60,0,0,0.952380952380952,0.0476190476190476,"Saudi Arabia","Right Midfield",2
"241","Younès Belhanda",124,5,113,6,0.0483870967741935,0.911290322580645,0.0403225806451613,"Morocco","Center Attacking Midfield",2
"242","Youri Tielemans",120,2,114,4,0.0333333333333333,0.95,0.0166666666666667,"Belgium","Left Center Midfield",2
"243","Yury Gazinskiy",128,0,126,2,0.015625,0.984375,0,"Russia","Right Defensive Midfield",1
"244","Yussuf Yurary Poulsen",96,15,79,2,0.0208333333333333,0.822916666666667,0.15625,"Denmark","Right Wing",5
"245","Yuya Osako",88,4,77,7,0.0795454545454545,0.875,0.0454545454545455,"Japan","Center Forward",4
